ticker,sector,industry,index
ON,Information Technology,Semiconductors,sp500
OKE,Energy,Oil & Gas Storage & Transportation,sp500
ORCL,Information Technology,Application Software,sp500
OTIS,Industrials,Industrial Machinery & Supplies & Components,sp500
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500
PKG,Materials,Paper & Plastic Packaging Products & Materials,sp500
PLTR,Information Technology,Application Software,sp500
PANW,Information Technology,Systems Software,sp500
PSKY,Communication Services,Movies & Entertainment,sp500
PH,Industrials,Industrial Machinery & Supplies & Components,sp500
PAYX,Industrials,Human Resource & Employment Services,sp500
PYPL,Financials,Transaction & Payment Processing Services,sp500
PNR,Industrials,Industrial Machinery & Supplies & Components,sp500
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
PFE,Health Care,Pharmaceuticals,sp500
PCG,Utilities,Multi-Utilities,sp500
PM,Consumer Staples,Tobacco,sp500
PSX,Energy,Oil & Gas Refining & Marketing,sp500
PNW,Utilities,Multi-Utilities,sp500
PNC,Financials,Diversified Banks,sp500
PPG,Materials,Specialty Chemicals,sp500
PPL,Utilities,Electric Utilities,sp500
PFG,Financials,Life & Health Insurance,sp500
PG,Consumer Staples,Personal Care Products,sp500
PGR,Financials,Property & Casualty Insurance,sp500
PLD,Real Estate,Industrial REITs,sp500
PRU,Financials,Life & Health Insurance,sp500
PEG,Utilities,Electric Utilities,sp500
PTC,Information Technology,Application Software,sp500
PSA,Real Estate,Self-Storage REITs,sp500
PHM,Consumer Discretionary,Homebuilding,sp500
PWR,Industrials,Construction & Engineering,sp500
QCOM,Information Technology,Semiconductors,sp500
DGX,Health Care,Health Care Services,sp500
Q,Information Technology,Semiconductor Materials & Equipment,sp500
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
RJF,Financials,Investment Banking & Brokerage,sp500
RTX,Industrials,Aerospace & Defense,sp500
O,Real Estate,Retail REITs,sp500
REG,Real Estate,Retail REITs,sp500
REGN,Health Care,Biotechnology,sp500
RF,Financials,Regional Banks,sp500
RSG,Industrials,Environmental & Facilities Services,sp500
RMD,Health Care,Health Care Equipment,sp500
RVTY,Health Care,Health Care Equipment,sp500
HOOD,Financials,Investment Banking & Brokerage,sp500
ROK,Industrials,Electrical Components & Equipment,sp500
ROL,Industrials,Environmental & Facilities Services,sp500
ROP,Information Technology,Electronic Equipment & Instruments,sp500
ROST,Consumer Discretionary,Apparel Retail,sp500
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
SPGI,Financials,Financial Exchanges & Data,sp500
CRM,Information Technology,Application Software,sp500
SNDK,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
SBAC,Real Estate,Telecom Tower REITs,sp500
SLB,Energy,Oil & Gas Equipment & Services,sp500
STX,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
SRE,Utilities,Multi-Utilities,sp500
NOW,Information Technology,Systems Software,sp500
SHW,Materials,Specialty Chemicals,sp500
SPG,Real Estate,Retail REITs,sp500
SWKS,Information Technology,Semiconductors,sp500
SJM,Consumer Staples,Packaged Foods & Meats,sp500
SW,Materials,Paper & Plastic Packaging Products & Materials,sp500
SNA,Industrials,Industrial Machinery & Supplies & Components,sp500
SOLV,Health Care,Health Care Technology,sp500
SO,Utilities,Electric Utilities,sp500
LUV,Industrials,Passenger Airlines,sp500
SWK,Industrials,Industrial Machinery & Supplies & Components,sp500
SBUX,Consumer Discretionary,Restaurants,sp500
STT,Financials,Asset Management & Custody Banks,sp500
STLD,Materials,Steel,sp500
STE,Health Care,Health Care Equipment,sp500
SYK,Health Care,Health Care Equipment,sp500
SMCI,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
SYF,Financials,Consumer Finance,sp500
SNPS,Information Technology,Application Software,sp500
SYY,Consumer Staples,Food Distributors,sp500
TMUS,Communication Services,Wireless Telecommunication Services,sp500
TROW,Financials,Asset Management & Custody Banks,sp500
TTWO,Communication Services,Interactive Home Entertainment,sp500
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
TRGP,Energy,Oil & Gas Storage & Transportation,sp500
TGT,Consumer Staples,Consumer Staples Merchandise Retail,sp500
TEL,Information Technology,Electronic Manufacturing Services,sp500
TDY,Information Technology,Electronic Equipment & Instruments,sp500
TER,Information Technology,Semiconductor Materials & Equipment,sp500
TSLA,Consumer Discretionary,Automobile Manufacturers,sp500
TXN,Information Technology,Semiconductors,sp500
TPL,Energy,Oil & Gas Exploration & Production,sp500
TXT,Industrials,Aerospace & Defense,sp500
TMO,Health Care,Life Sciences Tools & Services,sp500
TJX,Consumer Discretionary,Apparel Retail,sp500
TKO,Communication Services,Movies & Entertainment,sp500
TTD,Communication Services,Advertising,sp500
TSCO,Consumer Discretionary,Other Specialty Retail,sp500
TT,Industrials,Building Products,sp500
TDG,Industrials,Aerospace & Defense,sp500
TRV,Financials,Property & Casualty Insurance,sp500
TRMB,Information Technology,Application Software,sp500
TFC,Financials,Diversified Banks,sp500
TYL,Information Technology,Application Software,sp500
TSN,Consumer Staples,Packaged Foods & Meats,sp500
USB,Financials,Diversified Banks,sp500
UBER,Industrials,Passenger Ground Transportation,sp500
UDR,Real Estate,Multi-Family Residential REITs,sp500
ULTA,Consumer Discretionary,Other Specialty Retail,sp500
UNP,Industrials,Rail Transportation,sp500
UAL,Industrials,Passenger Airlines,sp500
UPS,Industrials,Air Freight & Logistics,sp500
URI,Industrials,Trading Companies & Distributors,sp500
UNH,Health Care,Managed Health Care,sp500
UHS,Health Care,Health Care Facilities,sp500
VLO,Energy,Oil & Gas Refining & Marketing,sp500
VEEV,Health Care,Health Care Technology,sp500
VTR,Real Estate,Health Care REITs,sp500
VLTO,Industrials,Environmental & Facilities Services,sp500
VRSN,Information Technology,Internet Services & Infrastructure,sp500
VRSK,Industrials,Research & Consulting Services,sp500
VZ,Communication Services,Integrated Telecommunication Services,sp500
VRTX,Health Care,Biotechnology,sp500
VRT,Industrials,Electrical Components & Equipment,sp500
VTRS,Health Care,Pharmaceuticals,sp500
VICI,Real Estate,Hotel & Resort REITs,sp500
V,Financials,Transaction & Payment Processing Services,sp500
VST,Utilities,Electric Utilities,sp500
VMC,Materials,Construction Materials,sp500
WRB,Financials,Property & Casualty Insurance,sp500
GWW,Industrials,Industrial Machinery & Supplies & Components,sp500
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500
WMT,Consumer Staples,Consumer Staples Merchandise Retail,sp500
DIS,Communication Services,Movies & Entertainment,sp500
WBD,Communication Services,Broadcasting,sp500
WM,Industrials,Environmental & Facilities Services,sp500
WAT,Health Care,Life Sciences Tools & Services,sp500
